"name","slug","desc","totRating","avgRating","totLearningMentorshipRating","avgLearningMentorshipRating","totMeaningfulWorkRating","avgMeaningfulWorkRating","totWorkLifeBalanceRating","avgWorkLifeBalanceRating","logoSrc","uniqueIdentifier","numRatings"
"BBM","bbm",,3,"3.0",4,"4.0",3,"3.0",4,"4.0",,"c343",1
"Sears Canada","sears-canada",,5,"2.5",7,"3.5",3,"1.5",8,"4.0",,"c294",2
"Noom Inc.","noom-inc","",4,"4.0",4,"4.0",2,"2.0",5,"5.0","https://pbs.twimg.com/profile_images/645961342852198404/rK9_E3F4_400x400.png","c190",1
"Desire2Learn","desire2learn","",14,"4.7",14,"4.7",11,"3.7",15,"5.0","https://crunchbase-production-res.cloudinary.com/image/upload/c_pad,h_140,w_140/v1427318582/mx7fwsah5t75ntobar5e.jpg","c83",3
"FiveStars","fivestars","Helping businesses and communities thrive by turning every transaction into a relationship.",4,"4.0",5,"5.0",3,"3.0",5,"5.0","https://pbs.twimg.com/profile_images/712745846056464384/_fMuz3rU_400x400.jpg","c117",1
"ITC Project","itc-project",,3,"3.0",1,"1.0",3,"3.0",5,"5.0",,"c364",1
"BOS Innovations","bos-innovations",,4,"4.0",5,"5.0",4,"4.0",3,"3.0",,"c207",1
"MirallTV","miralltv","",5,"5.0",5,"5.0",5,"5.0",5,"5.0","https://pbs.twimg.com/profile_images/816386117041786880/uIWyqn03_400x400.jpg","c139",1
"FutureAdvisor","futureadvisor","",4,"4.0",3,"3.0",4,"4.0",4,"4.0","https://crunchbase-production-res.cloudinary.com/image/upload/c_pad,h_140,w_140/v1426255413/fzohr4tmeuf8uidwpref.jpg","c77",1
"TD Asset Management","td-asset-management",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c373",1
"Shaw Communications","shaw-communications",,3,"3.0",3,"3.0",3,"3.0",3,"3.0",,"c208",1
"Unata","unata",,5,"5.0",5,"5.0",4,"4.0",5,"5.0",,"c300",1
"Charity Intelligence","charity-intelligence","Charity Intelligence helps donors give intelligently by researching Canadian charities.",4,"4.0",4,"4.0",4,"4.0",5,"5.0","https://pbs.twimg.com/profile_images/2205543848/ci_400x400.gif","c90",1
"Government of Canada","government-of-canada","The Government of Canada is the federal administration of Canada.",4,"4.0",3,"3.0",3,"3.0",5,"5.0","https://pbs.twimg.com/profile_images/537625264277028864/14jJPXpX.png","c165",1
"Mozilla","mozilla","Mozilla provides internet solutions.",14,"4.7",11,"3.7",13,"4.3",15,"5.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397181717/aaa4d233b4294275c86182477bd7c071.jpg","c29",3
"Bazaarvoice","bazaarvoice",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c261",1
"Oracle","oracle","Oracle offers a comprehensive and fully integrated stack of cloud applications and platform services.",0,"0.0",0,"0.0",0,"0.0",0,"0.0","https://pbs.twimg.com/profile_images/800840075311333376/515GX-Cc.jpg","c31",0
"Ultimate Software","ultimate-software",,19,"4.8",19,"4.8",18,"4.5",20,"5.0",,"c334",4
"Bank of America Merrill Lynch","bank-of-america-merrill-lynch",,9,"4.5",10,"5.0",9,"4.5",8,"4.0",,"c206",2
"Pixlee","pixlee","Pixlee is a visual marketing platform that helps brands market and sell by using real customer photos and videos.",5,"5.0",5,"5.0",5,"5.0",4,"4.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1438216905/mxicnlkjczyfp89dsa5f.jpg","c138",1
"Slack","slack","Slack is a team communication application providing services such as real-time messaging, archiving, and search for modern teams.",5,"5.0",5,"5.0",5,"5.0",5,"5.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1413307057/jik5dbxyvnjq40kj3ujs.png","c41",1
"Tinder","tinder","Tinder anonymously finds people nearby that like each other and connects them if they are both interested.",0,"0.0",0,"0.0",0,"0.0",0,"0.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1415726641/lmiowwy6zpmzayprrpb7.jpg","c47",0
"Reflektion","reflektion","Leading retailers use Reflektion to capture and respond to real-time individual shopper intent, increasing conversions and revenue by 20%+",9,"4.5",9,"4.5",10,"5.0",7,"3.5","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1441330768/gzfx5wsgqlf8ue4lbjnu.png","c76",2
"Two Sigma","two-sigma","Two Sigma Investments LP is a New York City-based hedge fund that uses a variety of technological methods, including artificial intelligence, machine learning, and distributed computing, for its trading strategies.",0,"0.0",0,"0.0",0,"0.0",0,"0.0","https://relishcaterers.files.wordpress.com/2015/06/two-sigma.png?w=676","c51",0
"Sumologic","sumologic","Sumo Logic is industry's leading, secure, cloud-based service for logs & metrics management for modern apps, providing real-time analytics and insights.",7,"3.5",10,"5.0",8,"4.0",10,"5.0","https://pbs.twimg.com/profile_images/459017587616002048/Qz_ocsrM.jpeg","c166",2
"TripAdvisor","tripadvisor","About TripAdvisor TripAdvisor is the world's largest travel site, enabling travelers to plan and book the perfect trip.",0,"0.0",0,"0.0",0,"0.0",0,"0.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397182899/40853e78925191526552071848417a63.jpg","c48",0
"The Weather Network","the-weather-network",,6,"3.0",4,"2.0",6,"3.0",8,"4.0",,"c323",2
"Magmic","magmic",,4,"4.0",5,"5.0",4,"4.0",4,"4.0",,"c319",1
